1-qid,two_realRank2,two_realRank,State,MART,RandomFor,ndcg_term_MART,ndcg_term_RandomFor
2012,280,85,Arizona State University Campus Immersion,84,84,0.000557218,0.000557218
2012,287,86,Washington State University,85,86,0.0005422,0.000540796
2012,292,87,Creighton University,88,85,0.000528845,0.000532916
2012,296,88,University of Vermont,90,88,0.000519128,0.000521698
2012,299,89,University of Houston,89,91,0.000515181,0.000512677
2012,310,90,Lehigh University,76,87,0.000514747,0.000499395
2012,314,91,Auburn University,92,93,0.000487022,0.000485875
2012,316,92,Arkansas State University,91,92,0.000485096,0.000483939
2012,317,93,Clark University,86,90,0.000489617,0.000484738
2012,327,94,University of Idaho,94,94,0.000465475,0.000465475
2012,344,95,Michigan Technological University,96,95,0.000440457,0.000441457
2012,354,96,University of Akron Main Campus,101,97,0.000423363,0.000427057
2012,357,97,SUNY Polytechnic Institute,103,100,0.00041805,0.000420702
2012,376,98,Clemson University,98,96,0.000401181,0.000402971
2012,379,99,Missouri University of Science and Technology,97,98,0.000398887,0.000398006
2012,382,100,West Virginia University,95,99,0.000397542,0.000394018
2012,391,101,University of South Dakota,105,104,0.000380139,0.000380913
2012,392,102,North Dakota State University-Main Campus,99,102,0.000383967,0.000381518
2012,408,103,University of Wyoming,106,103,0.000363568,0.000365794
2012,427,104,University of North Texas,114,108,0.000342111,0.000346019
2012,428,105,SUNY at Albany,102,101,0.000349428,0.000350165
2012,430,106,University of Maryland-Baltimore County,104,106,0.000346365,0.000344967
2012,440,107,New Jersey Institute of Technology,110,107,0.000334499,0.000336457
2012,451,108,Kent State University at Kent,109,109,0.000326969,0.000326969
2012,460,109,American University,100,105,0.000326501,0.000323118
2012,475,110,Florida International University,112,111,0.000308682,0.000309263
2012,495,111,Old Dominion University,116,113,0.000294046,0.000295659
2012,498,112,East Carolina University,117,114,0.000291753,0.000293337
2012,501,113,Binghamton University,108,110,0.00029491,0.000293772
2012,509,114,Texas Tech University,111,112,0.000288605,0.000288062
2012,510,115,San Diego State University,118,116,0.000284385,0.000285397
2012,514,116,Miami University-Oxford,115,115,0.000283688,0.000283688
2012,528,117,The University of Texas at San Antonio,119,119,0.00027421,0.00027421
2012,534,118,University of Central Florida,113,118,0.000274065,0.000271604
2012,552,119,Oakland University,121,120,0.000261385,0.000261834
2012,554,120,Villanova University,107,117,0.000267222,0.000262262
2012,575,121,Portland State University,120,121,0.000251361,0.00025093
2012,630,122,California State University-Long Beach,122,122,0.000228635,0.000228635
2013,2,1,Harvard University,1,1,0.5,0.5
2013,3,2,Stanford University,1,2,0.333333333,0.210309918
2013,4,3,Massachusetts Institute of Technology,1,3,0.25,0.125
2013,6,4,University of Chicago,5,4,0.064475468,0.071779426
2013,8,5,Columbia University in the City of New York,8,6,0.03943311,0.044525898
2013,11,6,Yale University,1,5,0.090909091,0.035168437
2013,13,7,University of Pennsylvania,14,7,0.019689079,0.025641026
2013,15,8,Washington University in St Louis,12,9,0.018015877,0.020068666
2013,16,9,Northwestern University,5,8,0.0241783,0.019716555
2013,17,10,Johns Hopkins University,9,11,0.017707647,0.016408409
2013,20,11,Boston University,25,16,0.010637303,0.012232527
2013,21,12,Case Western Reserve University,15,14,0.011904762,0.012188477
2013,22,13,Duke University,5,10,0.017584219,0.01313931
2013,23,14,University of California-Los Angeles,10,13,0.012568036,0.011419545
2013,26,15,Cornell University,13,12,0.010101905,0.010393775
2013,28,16,Brown University,18,15,0.008407461,0.008928571
2013,30,17,Tufts University,31,17,0.006666667,0.007993749
2013,32,18,University of California-Davis,35,23,0.006044575,0.006815759
2013,36,19,Carnegie Mellon University,27,24,0.005778183,0.005981619
2013,38,20,Emory University,19,21,0.0060889,0.005901153
2013,39,21,University of Southern California,20,18,0.005837699,0.006036126
2013,43,22,University of Michigan-Ann Arbor,16,22,0.005689547,0.00514104
2013,45,23,University of Wisconsin-Madison,32,20,0.00440533,0.005059339
2013,46,24,Yeshiva University,47,39,0.00389244,0.004084822
