1-qid,two_realRank2,two_realRank,State,MART,RandomFor,ndcg_term_MART,ndcg_term_RandomFor
2015,129,47,Dartmouth College,24,31,0.001669289,0.001550388
2015,147,48,Rutgers University-New Brunswick,44,45,0.001238693,0.001231582
2015,150,49,University of Utah,57,54,0.001138049,0.001153131
2015,151,50,Pennsylvania State University-Main Campus,49,46,0.001173403,0.00119226
2015,152,51,University of Maryland-College Park,53,51,0.001143193,0.001154112
2015,156,52,University of California-Irvine,47,50,0.001147771,0.001130073
2015,160,53,University of Iowa,50,49,0.001101821,0.001107399
2015,161,54,University of California-Santa Barbara,60,53,0.001047286,0.001079288
2015,162,55,University at Buffalo,56,55,0.001058281,0.001062935
2015,166,56,Indiana University of Pennsylvania-Main Campus,74,79,0.000967133,0.000952889
2015,167,57,Stony Brook University,58,60,0.001017914,0.001009659
2015,168,58,Iowa State University,76,72,0.00094983,0.00096164
2015,179,59,Tulane University of Louisiana,41,47,0.001036028,0.001000292
2015,196,60,Illinois Institute of Technology,83,85,0.000798152,0.000793936
2015,198,61,Wake Forest University,63,63,0.000841751,0.000841751
2015,204,62,Northeastern University,66,69,0.000808092,0.000799761
2015,208,63,University of Kansas,54,57,0.000831585,0.000820708
2015,220,64,Colorado School of Mines,84,78,0.000709187,0.000721068
2015,226,65,University of Connecticut,61,68,0.000743136,0.000724361
2015,230,66,University of New Mexico-Main Campus,115,114,0.00063398,0.000635137
2015,233,67,William & Mary,68,66,0.000702599,0.000707514
2015,236,68,Virginia Polytechnic Institute and State University,87,81,0.000655985,0.000666497
2015,240,69,Rensselaer Polytechnic Institute,65,64,0.000689344,0.000691865
2015,243,70,Drexel University,72,74,0.000664837,0.000660675
2015,245,71,Brandeis University,78,70,0.00064749,0.000663707
2015,246,72,Wayne State University,79,83,0.000643006,0.000635926
2015,248,73,University of Oklahoma-Norman Campus,70,71,0.000655679,0.000653534
2015,249,74,University of Georgia,67,67,0.000659727,0.000659727
2015,255,75,University of California-Riverside,75,75,0.000627659,0.000627659
2015,256,76,University of Cincinnati-Main Campus,71,73,0.000633111,0.000629081
2015,260,77,Arkansas State University,94,97,0.000585424,0.000581455
2015,261,78,Temple University,82,76,0.000601003,0.000611385
2015,266,79,University of South Carolina-Columbia,104,88,0.000559914,0.000580536
2015,268,80,University of California-Santa Cruz,73,80,0.000600913,0.000588554
2015,270,81,University of Delaware,69,65,0.000604264,0.00061275
2015,282,82,Syracuse University,51,56,0.000622075,0.000607949
2015,299,83,The University of Texas at Dallas,80,77,0.000527533,0.000532103
2015,300,84,Boston College,62,58,0.000557667,0.000566639
2015,301,85,Oregon State University,91,91,0.000509271,0.000509271
2015,311,86,Creighton University,90,94,0.00049409,0.000489422
2015,319,87,Florida Institute of Technology,96,104,0.000474975,0.000466887
2015,330,88,University of South Florida,109,105,0.000446858,0.000450407
2015,338,89,Texas Tech University,97,98,0.000447273,0.000446285
2015,339,90,Lehigh University,64,61,0.000489816,0.000495424
2015,343,91,American University,81,93,0.000458581,0.000444796
2015,345,92,University of Vermont,93,95,0.000442217,0.000440177
2015,354,93,Arizona State University Campus Immersion,85,82,0.00043958,0.000443112
2015,355,94,Louisiana State University and Agricultural & Mechanical College,105,86,0.000418688,0.000437207
2015,375,95,SUNY at Albany,103,102,0.000397984,0.000398813
2015,385,96,Washington State University,95,90,0.000394445,0.000399122
2015,389,97,University of Houston,89,92,0.000395988,0.000393123
2015,393,98,Michigan Technological University,99,103,0.00038299,0.000379756
2015,406,99,Auburn University,92,96,0.000376662,0.000373195
2015,408,100,George Mason University,88,87,0.000378487,0.000379442
2015,413,101,The University of Montana,111,108,0.00035569,0.000357748
2015,417,102,Clemson University,77,84,0.000381532,0.000374151
2015,419,103,New Jersey Institute of Technology,108,109,0.000352626,0.00035194
2015,421,104,Villanova University,110,101,0.000349595,0.000355987
2015,425,105,West Virginia University,98,100,0.000354928,0.000353389
2015,429,106,University of Arkansas,86,89,0.000361792,0.000359066
2015,431,107,Purdue University-Main Campus,46,41,0.000417706,0.000430276
2015,434,108,University of South Dakota,114,113,0.000336594,0.000337214
2015,481,109,North Dakota State University-Main Campus,101,107,0.000311581,0.000307777
2015,490,110,University of Idaho,117,118,0.000296516,0.000295993
2015,493,111,Binghamton University,112,115,0.000297411,0.000295772
2015,505,112,Hofstra University,107,106,0.00029315,0.000293734
2015,507,113,University of Maryland-Baltimore County,106,119,0.000292575,0.000285568
2015,509,114,New Mexico State University-Main Campus,125,122,0.000281576,0.000282986
2015,512,115,Mississippi State University,113,112,0.000285842,0.000286374
2015,523,116,Florida International University,118,117,0.000277316,0.000277807
2015,547,117,San Diego State University,116,111,0.000266093,0.000268556
2015,549,118,Miami University-Oxford,102,99,0.000272414,0.000274162
2015,550,119,Old Dominion University,124,124,0.000261016,0.000261016
2015,570,120,University of Central Florida,120,121,0.000253566,0.000253131
2015,585,121,East Carolina University,126,120,0.000244596,0.000247064
2015,586,122,Kent State University at Kent,121,123,0.00024622,0.000245389
2015,606,123,The University of Texas at San Antonio,128,127,0.00023536,0.000235738
2015,626,124,Oakland University,122,126,0.000230096,0.000228576
2015,690,125,The University of Tampa,100,110,0.000217667,0.000213304
2015,703,126,California State University-Long Beach,123,125,0.000204549,0.000203872
2015,714,127,Humboldt State University,129,129,0.000199443,0.000199443
2015,732,128,Savannah College of Art and Design,119,116,0.000197791,0.000198842
2015,735,129,University of Northern Colorado,127,128,0.000194363,0.000194052
