,1-qid,two_realRank,two_realRank2,State,CordAscent,C_CE_I,C_CE_I_R,Total_Current_Assets,Current_Liabilities,NonCurrent_Liabilities,Unrestricted_Net_Assets,Restricted_Net_Assets,Total_Net_Assets,Total_Assets,Total_Liabilities,Total_Taxes,Total_Revenue_,Total_Expenses,NonCurrent_Liability,Change_in_Net_Assets,Population,UAAL_pension_(risk-free),UAAL_OPEB,Primary_gov_debt,Personal_income,cash_ratio,quick_ratio,current_ratio,op_ratio,surplus_percap,net_asst_ratio,long_term_liab,lt_percapita,tax_income_ratio,rev_income_ratio,exp_income_ratio,pension_income_ratio,opeb_income_ratio,overallrank,C_CE_I_R_contribution,Change_in_Net_Assets_contribution,Current_Liabilities_contribution,NonCurrent_Liability_contribution,NonCurrent_Liabilities_contribution,Personal_income_contribution,Population_contribution,Primary_gov_debt_contribution,Restricted_Net_Assets_contribution,Total_Assets_contribution,Total_Current_Assets_contribution,Total_Expenses_contribution,Total_Liabilities_contribution,Total_Net_Assets_contribution,Total_Revenue__contribution,Total_Taxes_contribution,UAAL_OPEB_contribution,UAAL_pension_(risk-free)_contribution,Unrestricted_Net_Assets_contribution,cash_ratio_contribution,current_ratio_contribution,exp_income_ratio_contribution,long_term_liab_contribution,lt_percapita_contribution,net_asst_ratio_contribution,op_ratio_contribution,opeb_income_ratio_contribution,pension_income_ratio_contribution,quick_ratio_contribution,rev_income_ratio_contribution,surplus_percap_contribution,tax_income_ratio_contribution,C_CE_I_R_feature_rank,Change_in_Net_Assets_feature_rank,Current_Liabilities_feature_rank,NonCurrent_Liability_feature_rank,NonCurrent_Liabilities_feature_rank,Personal_income_feature_rank,Population_feature_rank,Primary_gov_debt_feature_rank,Restricted_Net_Assets_feature_rank,Total_Assets_feature_rank,Total_Current_Assets_feature_rank,Total_Expenses_feature_rank,Total_Liabilities_feature_rank,Total_Net_Assets_feature_rank,Total_Revenue__feature_rank,Total_Taxes_feature_rank,UAAL_OPEB_feature_rank,UAAL_pension_(risk-free)_feature_rank,Unrestricted_Net_Assets_feature_rank,cash_ratio_feature_rank,current_ratio_feature_rank,exp_income_ratio_feature_rank,long_term_liab_feature_rank,lt_percapita_feature_rank,net_asst_ratio_feature_rank,op_ratio_feature_rank,opeb_income_ratio_feature_rank,pension_income_ratio_feature_rank,quick_ratio_feature_rank,rev_income_ratio_feature_rank,surplus_percap_feature_rank,tax_income_ratio_feature_rank
10,2006,30,30,Hawaii,15,4390319,5319005,5446144,1573856,6590773,2878490,1789738,10598887,18763515,8164629,5660870238,9405088095,9285032143,6590772619,120055952,1309731,14428149741,7463690476,6632397619,60259890476,2.79,3.38,3.46,1.01,91.66,0.25,0.35,5032.16,0.09,0.16,0.15,0.24,0.12,30,0.001439227,0.001662042,-0.002113761,0.002581026,-0.021936542,0.006421104,-0.005140782,-0.002960297,-0.001110076,0.012699748,-0.005646256,-0.004507841,0.010271927,0.001191415,-0.003270895,0.001622748,0.000624443,-0.000872125,0.00163624,0.000313132,0.003492821,0.001136649,0.000458235,-0.004435487,4.08E-05,-0.003331645,0.00098132,0.001132552,0.001729923,0.00256579,-0.003798009,-0.0036675,23,20,18,15,1,4,6,14,27,2,5,7,3,24,13,22,30,29,21,32,11,25,31,8,33,12,28,26,19,16,9,10
11,2006,14,14,Idaho,24,3042092,3758815,5109868,1661380,797292,1160776,2470711,9162882,11621554,2458671,3449216667,7892415476,7040030952,797291667,852384524,1468669,5710614029,582644048,670979762,54825488095,1.83,2.26,3.08,1.12,580.38,0.31,0.07,542.87,0.06,0.14,0.13,0.1,0.01,14,-0.001481021,-0.000331791,-0.000904653,0.002194748,-0.028100282,0.003584438,-0.005772008,-0.007240894,0.000239011,0.022238501,-0.006755895,-0.004670583,0.014492198,0.001820422,-0.007387514,-0.000911158,-0.000693996,-0.000349339,0.001927261,-0.000495054,-0.001305474,0.000633338,-0.005444873,0.004284688,0.005096172,0.005100454,-0.001214233,-0.003677573,-0.001626314,-0.001274884,0.009518714,0.000902992,21,32,26,17,1,16,8,6,33,2,7,12,3,19,5,25,28,31,18,30,22,29,9,13,11,10,24,15,20,23,4,27
12,2006,46,46,Illinois,49,10780393,18075737,18685500,11591165,51544342,-37856835,5756702,-17332542,45802965,63135507,31758336905,61030952381,60693691667,51544341667,337757143,12643955,1.31E+11,0,33445001190,6.04E+11,0.93,1.56,1.61,1.01,26.71,-0.7,1.13,4076.6,0.05,0.1,0.1,0.22,0,46,0.003464288,-0.00045443,0.004105074,-0.008679767,0.061091303,-0.012971262,0.007163795,0.014344038,-0.002062985,-0.038739724,0.012508592,0.011480433,-0.030123654,-0.001937188,0.009870893,0.00143021,0.000955814,0.000760855,-0.002523787,6.57E-05,-0.003186225,-0.000453693,0.007451752,-0.004205115,-0.000450181,-0.001215933,-0.000361299,-0.000826755,0.000641942,0.000568265,-0.000799013,0.002334551,15,29,14,9,1,5,11,4,19,2,6,7,3,20,8,21,23,26,17,33,16,30,10,13,31,22,32,24,27,28,25,18
13,2006,13,13,Indiana,4,4956756,7247996,15061762,6766300,1912415,7287082,1773669,19507482,28186198,8678715,12796428571,27903928571,27457141667,1912415476,4754322619,6332669,25465540365,0,1556038095,2.47E+11,0.73,1.07,2.23,1.02,750.76,0.32,0.07,301.99,0.05,0.11,0.11,0.1,0,13,0.000162413,0.00182671,0.000861371,0.003902776,-0.026007072,0.005102099,0.001005824,-0.007805239,-0.002089024,0.012899095,-0.000837304,0.001361936,0.014099982,-0.000657245,-0.003373255,-0.001375442,-0.00538171,-0.000406409,0.001223171,-0.000628245,-0.00248174,-0.000846363,-0.005061634,0.005412885,-0.000178581,0.000569669,-0.001821785,0.001237813,-0.001965514,0.000683252,0.009054288,0.001434273,32,15,23,10,1,8,22,5,13,3,25,19,2,27,11,18,7,30,21,28,12,24,9,6,31,29,16,20,14,26,4,17
14,2006,20,20,Iowa,25,4602425,6993630,7251381,2367162,2662255,1270988,3028469,13528718,18558135,5029417,6986785714,17258095238,16575086905,2662254762,682976190,2982644,13714442357,0,2474109524,1.22E+11,1.94,2.95,3.06,1.04,228.98,0.23,0.14,892.58,0.06,0.14,0.14,0.11,0,20,0.001431404,-0.002767229,-0.000520747,0.000543562,-0.026985415,0.005752823,-0.002840031,-0.007819618,-0.003160487,0.019526682,-1.04E-06,-0.002075628,0.013466867,0.000104494,-0.003838057,0.001399318,-0.000399701,-0.003593859,0.0012684,-0.00206475,-0.001277662,-0.001865415,-0.004910153,0.004113679,0.000998554,-2.35E-06,0.00134999,0.000654363,0.001414916,-0.004803631,0.000225532,0.00248745,18,13,27,26,1,5,12,4,11,2,33,15,3,31,9,20,28,10,23,16,22,17,6,8,24,32,21,25,19,7,30,14
15,2006,29,29,Kansas,28,2889642,4646576,4677401,2567349,3671308,1582270,1248019,12526738,18765395,6238657,7544767857,13167095238,12621820238,3671308333,543911905,2762931,15490998154,0,6224476190,1.16E+11,1.13,1.81,1.82,1.04,196.86,0.15,0.2,1328.77,0.06,0.11,0.11,0.13,0,29,-0.002878177,-0.000657177,-0.001385601,0.001927291,-0.024135407,0.006992743,-0.000805182,-0.003272084,-0.004537992,0.012008706,-0.007771641,-0.001909724,0.012054675,0.001789737,-0.000952909,0.001434698,-0.002975226,0.001153614,0.0007237,-0.002299995,-0.001235185,-0.002388579,-0.002080598,0.004484635,-0.000469569,0.000110675,0.003121217,-0.001705748,0.002494573,-0.001727211,-0.003097951,4.84E-06,13,30,24,18,1,5,28,9,6,3,4,19,2,20,27,23,12,26,29,16,25,15,17,7,31,32,10,22,14,21,11,33
16,2006,38,38,Kentucky,39,4742811,7355621,8469538,3714021,6902929,-2147602,2105499,21253740,31870690,10616950,11154172619,22243070238,21454684524,6902928571,788385714,4219239,31401778982,14642719220,4916684524,1.53E+11,1.28,1.98,2.28,1.04,186.85,0,0.22,1636.06,0.07,0.15,0.14,0.21,0.1,38,-0.001098161,-0.002205911,3.31E-05,0.00550639,-0.023226392,0.002639824,-0.002851343,-0.006891162,-0.000138042,0.008234782,-0.003668297,-0.003178163,0.010714141,0.002069825,-0.003148439,-0.000425355,-5.81E-05,-0.000373309,-0.002486617,-0.002542894,-0.002256849,0.000225367,-0.001803939,0.00241694,0.002203811,0.000400238,0.002043043,-0.000320522,-0.002040042,0.003185993,-0.002439164,8.48E-05,23,17,33,5,1,11,10,4,29,3,6,8,2,19,9,24,32,26,13,12,16,28,22,15,18,25,20,27,21,7,14,31
17,2006,23,23,Louisiana,27,12266677,15470685,17464844,4647043,8168221,-3563357,9995215,19916635,32731899,12815264,9919265476,28465630952,26814445238,8168221429,1622283333,4302665,36737203574,0,8210159524,1.7E+11,2.64,3.33,3.76,1.06,377.04,0.2,0.25,1898.41,0.06,0.17,0.16,0.22,0,23,0.002347268,0.000806912,-0.000540168,0.003110419,-0.015577823,0.006767381,0.001257293,-0.005143586,0.001911365,0.00518952,0.010546914,-0.001887635,0.006666522,-0.000501903,0.001131988,-0.002997588,-0.000126245,-0.002136488,0.001106821,7.56E-05,0.002854927,0.000551445,-0.002781086,0.001873948,0.001171811,0.003807186,0.000225763,-0.000257356,0.00017589,-0.000884659,0.012173468,-0.00120568,14,25,27,10,1,4,19,7,16,6,3,17,5,28,22,11,32,15,23,33,12,26,13,18,21,9,30,29,31,24,2,20
18,2006,47,47,Maine,40,774314,1770088,3164055,2106552,1038402,-168674,772954,4683687,7828642,3144955,4000648810,8308171429,7965201190,1038402381,343654762,1323619,9720466824,0,924648810,54050391667,0.37,0.84,1.5,1.04,259.63,0.08,0.13,784.52,0.07,0.15,0.15,0.18,0,47,-0.003243523,-0.000578658,0.00063759,0.003009451,-0.029256654,0.00607148,-0.003014067,-0.00792966,-0.000493998,0.01896619,-0.005896447,-0.004920444,0.01235243,-0.003600474,-0.007395203,0.000769245,-0.003479721,-0.0008955,0.001391802,-0.001815325,-0.004119825,0.002210767,-0.006357791,0.001538246,0.001362692,0.002920341,0.001078611,0.000975325,-0.002511959,-0.001822396,0.000273795,0.002861676,14,31,30,16,1,7,15,4,32,2,8,9,3,12,5,29,13,28,24,22,10,20,6,23,25,17,26,27,19,21,33,18
19,2006,25,25,Maryland,12,8853070,13117018,14595888,7866637,12381623,2155687,2442133,22109033,42357293,20248260,17644560714,30953571429,28980952381,12381622619,1972651190,5627367,30798661620,24285714286,11963065476,3.07E+11,1.13,1.67,1.86,1.07,350.55,0.11,0.29,2200.25,0.06,0.1,0.09,0.1,0.08,25,-0.000150439,0.002777298,0.00028438,0.00457004,-0.013585166,0.001264963,0.002289003,-0.001590135,-0.00103819,-0.039552654,-0.001944045,-0.00077207,0.005977413,0.000505248,-0.000709743,0.003284962,0.000632678,0.000641859,0.001546532,-0.000387957,-0.002856396,-0.002864732,-0.002178653,0.001561487,0.002460979,0.00284122,0.002382082,-0.004722377,-0.000909149,-0.001870578,0.010534537,9.03E-05,32,11,31,6,2,21,14,18,22,1,16,24,4,28,25,7,27,26,20,30,9,8,15,19,12,10,13,5,23,17,3,33
