,1-qid,two_realRank,two_realRank2,State,CordAscent,country,teaching,international,research,citations,income,total_score,num_students,student_staff_ratio,year,female_percent,international_students,world_rank,country_encoded,country_contribution,female_percent_contribution,income_contribution,international_contribution,international_students_contribution,num_students_contribution,research_contribution,student_staff_ratio_contribution,teaching_contribution,country_feature_rank,female_percent_feature_rank,income_feature_rank,international_feature_rank,international_students_feature_rank,num_students_feature_rank,research_feature_rank,student_staff_ratio_feature_rank,teaching_feature_rank
20,2011,85,85,Durham University,95,UK,39.8,65.7,44.1,91,33.9,58.9,15489,15.7,2011,0.54,0.24,85,69,0.009749009,-0.002014088,-0.036533718,0.007333366,0.001179862,-0.010997321,-0.002574266,-0.00734782,7.04E-05,4,8,1,6,9,3,7,5,10
21,2011,15,15,ETH Zurich – Swiss Federal Institute of Technology Zurich,36,Switzerland,77.5,93.7,87.8,83.1,48.97987421,83.4,18178,14.7,2011,0.31,0.37,15,61,0.011700917,0.004200527,-0.003212008,0.039798101,0.001299971,-0.008260163,0.004431837,-0.005542139,0.05451014,4,8,9,2,10,5,7,6,1
22,2011,114,114,Eindhoven University of Technology,180,Netherlands,55.4,44.9,51.7,56.9,99.8,55.3,8176,16,2011,0.19,0.14,114,40,-0.000377189,0.003613691,0.097848294,-0.011193998,0.000511758,-0.017082437,0.0005231,-0.006651611,0.055025684,10,7,1,4,9,3,8,5,2
23,2011,62,61,Emory University,127,USA,63.4,52.3,48.4,77.8,48.97987421,63,12338,4.5,2011,0.56,0.18,61,70,0.011193965,-0.003895366,-0.003245244,0.012351743,0.001451307,-0.019888247,0.003736553,-0.018099949,0.055782523,5,7,9,4,10,2,8,3,1
24,2011,159,159,Erasmus University Rotterdam,110,Netherlands,39.4,58.6,43.6,65.5,48.97987421,50.4,20580,18.9,2011,0.48,0.18,159,40,-0.005366586,0.00191923,0.000531022,0.010370681,0.003107564,-0.006673234,0.001698268,0.000698592,0.000489506,4,6,9,1,5,3,7,8,10
25,2011,95,95,George Washington University,145,USA,60.6,39.6,43.1,70.2,48.97987421,57.3,20541,12,2011,0.56,0.16,95,70,0.010241197,0.001298201,-0.000439689,-0.012332894,-0.002267697,-0.00785909,0.001021616,-0.020953563,0.054565425,4,8,10,3,7,5,9,2,1
26,2011,164,164,Georgetown University,181,USA,65.1,24.7,44.7,45,48.97987421,50.1,15408,8.5,2011,0.53,0.14,164,70,0.007369643,1.35E-05,-0.002493032,-0.037098988,-0.001514795,-0.008542996,0.001960876,-0.019040743,0.059247454,6,10,7,2,9,5,8,3,1
27,2011,158,158,Georgia Health Sciences University,179,USA,67.3,16.3,41.7,48.9,50.1,50.7,23873.75865,18.44528302,2011,0.496839882,0.154440063,158,70,0.007816342,0.001207324,-0.003296702,-0.036590379,0.000812525,-0.000163766,0.0020008,-0.000111528,0.056805272,3,7,5,2,8,9,6,10,1
28,2011,27,27,Georgia Institute of Technology,47,USA,67.9,73.2,72.6,83.2,95.1,75.3,19967,20.1,2011,0.31,0.26,27,70,0.009585649,0.001963389,0.097773949,0.037644856,-0.001478571,-0.008886625,0.001588441,-0.001531429,0.057245061,5,7,1,3,10,6,8,9,2
29,2011,125,124,Ghent University,46,Belgium,52.8,24.7,59.1,52.8,97.1,54.4,32166,34.1,2011,0.57,0.09,124,5,-0.012366922,-0.001453499,0.09709053,-0.034110872,0.00095037,0.029133867,0.001555242,0.030171425,0.056200705,6,9,1,3,10,5,8,4,2
